,idx,nid
346,95327,"['4107998', '4100360', '4056569', '4116166', '4110472', '4087000', '4096472', '4055907', '4488308', '4175592']"
348,142242,"['4466678', '4199809', '4190246', '4200537', '4187319', '4192701', '4199362', '4226339', '4241656', '4565193']"
351,119553,"['3757474', '3711822', '3769786', '3979629', '3937543', '3758294', '4563662']"
353,119184,"['3778281', '4050900', '3772535', '4312729']"
354,129816,"['4193393', '4332604', '4147567', '4344196', '4341588']"
356,136854,"['4159622', '4022580', '4034759', '4111774']"
357,115622,"['3981973', '3959910', '3959745', '3973518', '3962108', '3966903', '3972822', '3974243', '3960184', '4019665']"
358,119447,"['4106223', '4102588', '4102330', '4249186', '4132961', '4102735', '4101950', '4119712', '4668306']"
359,119452,"['3971399', '3993591', '4311143', '4272432', '4121831', '4137482', '3857593', '3845737', '3837635', '3831929']"
360,114286,"['3958969', '4222638', '3967796', '3984976', '4001141', '3984704', '3340893', '3963352', '3966690', '3959470']"
361,118917,"['4057648', '4064974', '4064526', '4065399', '4063121', '4055160', '4067408', '4060504', '4058648', '4054716']"
363,133045,"['3969533', '3942051', '4188455']"
364,121841,"['3836683', '3964672', '3866551', '4095608', '3864757', '3903586', '3885670', '4043765', '3919653', '4756456']"
369,119331,"['3928461', '4015023', '3929614']"
370,50953,"['1516975', '1516503', '3914979', '4040173', '4126254']"
371,123389,"['3994985', '3933796', '3881637', '3879713', '3921256', '4725979', '4792012']"
372,120125,"['3909772', '3972212', '3962211', '3930447', '3880137', '4351792', '3943244', '4275556', '3841975', '3804522']"
373,125446,"['4131346', '4125348', '4126286', '4698232']"
376,113323,"['3895971', '4038209', '3912542', '3910241', '3924175', '3945635', '3929084', '3933575']"
377,141411,"['4036619', '4045292', '4367241']"
378,142025,"['4318673', '4286911', '4531585']"
379,133132,"['3891162', '3919007', '3961780', '3913063', '3889232', '4045895', '3891825', '4040546', '4454810', '4597730']"
380,108537,"['4630899', '4254363', '4243156', '3994964', '4269891']"
382,94130,"['3249332', '4199688', '3891819']"
384,101228,"['4310457', '4342462', '4677650']"
385,78970,"['4119574', '3745101', '3789682', '3934914', '4311185']"
386,124805,"['3869679', '3855134', '4252000', '3955697', '3900543', '4253570']"
387,115510,"['4501798', '4157440', '3973082', '4173093', '3884822', '4192792', '3891803', '3889687', '3888173', '4252017']"
388,130786,"['4158786', '4158716', '4206714', '4162650', '4238418', '4166360', '4161142', '4243433', '4182354', '4171382']"
389,123596,"['3812167', '3811572', '3809327', '3799889', '3821299', '3797409', '3801351', '3799670', '3824430', '3800753']"
392,116370,"['4201658', '3926399', '3703463', '3930851']"
393,131384,"['4056618', '4177492', '4162860', '4786711', '4241959', '4178487', '4657422', '3678151', '3976738', '3911665']"
394,140015,"['4545807', '4467071', '4202860', '4208958', '4222605', '4175544', '4165724', '4117458']"
395,99096,"['3781690', '3791192', '3788211', '3782246', '3777256', '3778481', '3778249', '3778091', '3777132', '3778781']"
397,67786,"['3928749', '3923827', '3924935', '3926523', '3924345', '3924340', '3931168', '3965748', '4706490', '3932601']"
398,47951,"['1298973', '1332304', '1420535', '2695994', '2421228', '4144202', '4293381']"
399,141497,"['4209290', '4326250', '3991922']"
