,idx,nid
136,126112,"[4455900, 4348078, 4350513, 4365622, 4345560, 4348647, 4386673]"
137,140811,"[4497790, 4245388, 4497302, 4270900, 4251586, 4307834, 4246597, 4747308]"
138,124031,"[4231711, 4231247, 4232678, 4244521, 4239233, 4260364, 4369992, 4244556, 4250637, 4248756]"
139,125461,"[4375066, 4433102, 4375623, 4432264, 4367170, 4746681, 4662217, 4794297]"
140,143952,"[4319565, 4319616, 4335592, 4327396, 4398218, 4331839, 4379696, 4372133]"
141,144773,"[4328656, 4397066, 4637303, 4754987]"
142,142372,"[4365775, 4355454, 4300174, 4357598, 4339192, 4400483, 4354762]"
143,141457,"[4362551, 4434104, 4395840, 4377025, 4374575, 4444802, 4433631, 4746818]"
144,137908,"[4140892, 4373803, 4294459, 4292960, 4266250, 4386638, 4266549, 4296627, 4289390, 4148418]"
145,147945,"[4388341, 4380629, 4388368, 4380134, 4374840, 4374232, 4444957, 4440477, 4437880, 4430702]"
146,139866,"[4438954, 4366836, 4074136, 4086156, 4117688, 4375563, 4487249, 4500111, 4324256, 4746744]"
147,142241,"[4443953, 4401209, 4707103, 4739917]"
148,91998,"[2930625, 4394586, 4528572]"
149,104423,"[3827045, 4431182, 3335905, 3820824, 4545435, 4507436]"
150,125468,"[4526138, 4366334, 4362946, 4361548, 4359815, 4368063, 4367546, 4365764, 4365337, 4363916]"
151,37949,"[4384763, 4439645, 4432097, 4707335, 4431730, 4418233]"
152,151300,"[4299093, 4297655, 4305254, 4640157]"
153,126078,"[4296764, 4637769, 4071885, 4209543, 4188037, 4601117, 4278824, 4553504, 4594633, 4285717]"
154,142337,"[4385527, 4348646, 4730674]"
155,146316,"[4421280, 4429179, 4400484]"
156,134895,"[4313276, 4306845, 4318379, 4317008, 4312952, 4316769, 4496857, 4385715, 4310864, 4334981]"
157,156323,"[4420698, 4415917, 4428975]"
158,127334,"[4272478, 4269996, 4261700, 4415661, 4395593, 4271205, 4353866, 4271551]"
159,153517,"[4445947, 4354014, 4362052, 4378414, 4490352]"
160,133496,"[4251581, 4250840, 4640943, 4245979, 4321748, 4321154, 4250717, 4244340, 4240770, 4633142]"
161,140719,"[4398298, 4398007, 4417919, 4523627, 4750995, 4693540, 4690519, 4756166, 4753121, 4782082]"
162,153801,"[4491026, 4361359, 4417559]"
163,122996,"[3640410, 4232520, 4441388, 4226398, 4227752, 4314668, 4333745, 4249043]"
164,138877,"[3987138, 4135122, 4135027, 4591939, 4545225, 4168741, 4172362, 4151138, 4152245, 4633059]"
165,153501,"[4363165, 4752203, 4361551]"
166,144001,"[4235397, 4249409, 4244974]"
167,143331,"[4398178, 4379776, 4377586, 4445154]"
168,114263,"[4239473, 4234223, 4517121, 4373452, 4349806, 4248498, 4718040]"
169,103657,"[4260359, 4220084, 4225500, 4257567, 4566425, 4233188, 4217579, 4245643, 4599296, 4550403]"
170,143456,"[4386603, 4375855, 4372886, 4418941, 4368546, 4368502, 4367677, 4367382, 4364760, 4388892]"
171,145669,"[4456710, 4391026, 4394048, 4600655]"
172,136035,"[4254038, 4253729, 4254484, 4252457, 4255532, 4460657]"
173,114288,"[3969023, 4265209, 4328275, 4278369, 4278068, 4792454]"
174,143484,"[4240952, 4248771, 4249033, 4263764]"
175,144937,"[4397150, 4147905, 4421880, 4462882, 4785050]"
176,129045,"[4496477, 4343398, 4398499, 4383865, 4741421, 4738469, 4681479, 4781722]"
177,125802,"[4300116, 4385275, 4307779, 4301184, 4310274, 4310371, 4305668, 4301875, 4695972, 4303810]"
178,144290,"[4496315, 4384483, 4379985, 4377197, 4381756, 4431735]"
179,155310,"[4438537, 4577631, 4572337, 4497440, 4558766, 4531674, 4445252, 4778162, 4789834]"
180,152266,"[4381277, 4379020, 4353180, 4622894, 4780184]"
181,10979,"[4735643, 4783121, 4786446]"
182,133479,"[4309945, 4307091, 4308694, 4307703, 4306628, 4798862]"
183,149511,"[4302719, 4302730, 4311016, 4302727, 4304315, 4292956]"
184,136842,"[4193799, 4215856, 4215366, 4252151, 4425472, 4242026, 4239434, 4232855, 4501237, 4226055]"
